deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.25000429;21.06943369;-0.00235401;-0.01645911;-1.48876524;0.00021660;-0.00026895;0.00045965 
0.25504780;21.32448149;-0.00242066;-0.01653778;-1.48881221;-0.00160768;-0.00096908;-0.00068109 
0.26951981;21.59400129;-0.00244350;-0.01657541;-1.48852491;0.00097232;-0.00026634;0.00944729 
0.22538185;21.81938314;-0.00232070;-0.01644058;-1.48847854;0.00002951;-0.00123053;0.00260381 
0.27360463;22.09298778;-0.00233811;-0.01645620;-1.48832822;0.00049592;-0.00052543;-0.00241486 
0.22823739;22.32122517;-0.00230236;-0.01641021;-1.48827469;-0.00192256;-0.00128003;-0.00276583 
0.25902891;22.58025408;-0.00221696;-0.01629446;-1.48814523;0.00082437;-0.00009507;-0.00050339 
0.23903775;22.81929183;-0.00222462;-0.01626655;-1.48807275;-0.00070843;-0.00123680;0.00098150 
0.25335217;23.07264400;-0.00230242;-0.01633159;-1.48800564;0.00028323;-0.00016265;-0.00245843 
0.24782681;23.32047081;-0.00228874;-0.01627955;-1.48777378;-0.00043784;-0.00166747;0.00265172 
0.24881148;23.56928229;-0.00235140;-0.01622793;-1.48779500;-0.00185239;-0.00192967;-0.00537829 
0.25014472;23.81942701;-0.00243678;-0.01625439;-1.48747230;-0.00094776;0.00013674;0.00296767 
0.24802971;24.06745672;-0.00239533;-0.01626201;-1.48744929;0.00140582;-0.00050257;-0.00160943 
0.25175214;24.31920886;-0.00231154;-0.01625698;-1.48738945;-0.00027111;0.00019796;-0.00222810 
0.26585507;24.58506393;-0.00238013;-0.01622959;-1.48715162;-0.00000796;-0.00005603;0.00459807 
0.23440742;24.81947136;-0.00239744;-0.01651219;-1.48702776;-0.00074772;-0.00041995;-0.00184792 
0.25324988;25.07272124;-0.00230180;-0.01655473;-1.48685575;-0.00022090;0.00049362;-0.00067083 
0.25181699;25.32453823;-0.00219495;-0.01662871;-1.48682702;-0.00006905;-0.00040498;-0.00165753 
